Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,3735.138
DRC01,Regular,Soft Drinks,OUT018,2009,Tier 3,Supermarket Type2,443.4228
FDN15,Low Fat,Meat,OUT049,1999,Tier 1,Supermarket Type1,2097.27
FDX07,Regular,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,732.38
NCD19,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,994.7052
FDP36,Regular,Baking Goods,OUT018,2009,Tier 3,Supermarket Type2,556.6088
FDO10,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,343.5528
FDP10,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,4022.7636
FDH17,Regular,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,1076.5986
FDU28,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,4710.535
FDY07,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1516.0266
FDA03,Regular,Dairy,OUT046,1997,Tier 1,Supermarket Type1,2187.153
FDX32,Regular,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1589.2646
FDS46,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,2145.2076
FDF32,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,1977.426
FDP49,Regular,Breakfast,OUT046,1997,Tier 1,Supermarket Type1,1547.3192
NCB42,Low Fat,Health and Hygiene,OUT018,2009,Tier 3,Supermarket Type2,1621.8888
FDP49,Regular,Breakfast,OUT049,1999,Tier 1,Supermarket Type1,718.3982
DRI11,Low Fat,Hard Drinks,OUT027,1985,Tier 3,Supermarket Type3,2303.668
FDU02,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,2748.4224
FDN22,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,3775.086
FDW12,Regular,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,4064.0432
NCB30,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,1587.2672
FDC37,Low Fat,Baking Goods,OUT019,1985,Tier 1,Grocery Store,214.3876
FDR28,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,4078.025
NCD06,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,838.908
FDV10,Regular,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,1065.28
DRJ59,low fat,Hard Drinks,OUT013,1987,Tier 3,Supermarket Type1,308.9312
FDE51,Regular,Dairy,OUT010,1998,Tier 3,Grocery Store,178.4344
FDC14,Regular,Canned,OUT019,1985,Tier 1,Grocery Store,125.8362
FDV38,Low Fat,Dairy,OUT010,1998,Tier 3,Grocery Store,163.7868
NCS17,Low Fat,Health and Hygiene,OUT018,2009,Tier 3,Supermarket Type2,2741.7644
FDP33,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,3068.0064
